ID,Label,Interval
132,Mahou Shoujo MadokaMagica Movie 3 Hangyaku no Monogatari,18.34106146
133,3-gatsu no Lion,17.91104458
134,Cross Game,18.1249053
135,Kaguya-sama wa Kokurasetai Tensai-tachi no Renai Zunousen,17.91104458
136,Kara no Kyoukai 7 Satsujin Kousatsu Go,18.1249053
137,Mo Dao Zu Shi 2nd Season,18.1249053
138,Mononoke,18.1249053
139,Chihayafuru 2,17.91104458
140,Kono Oto Tomare 2nd Season,17.91104458
141,Usagi Drop,17.91104458
142,Natsume Yuujinchou Movie Utsusemi ni Musubu,17.69945761
143,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai,17.69945761
144,Baccano,17.69945761
145,Barakamon,17.69945761
146,Gintama Aizome Kaori-hen,17.69945761
147,Grand Blue,17.69945761
148,Houseki no Kuni TV,17.69945761
149,Hunter x Hunter,17.69945761
150,Mushoku Tensei Isekai Ittara Honki Dasu,18.34106146
151,Hellsing Ultimate,17.28301903
152,Kaze no Tani no Nausica,17.49012287
153,Kizumonogatari I Tekketsu-hen,17.49012287
154,Natsume Yuujinchou Roku Specials,17.49012287
155,Violet Evergarden Gaiden Eien to Jidou Shuki Ningyou,17.49012287
156,Shingeki no Kyojin Kuinaki Sentaku,17.28301903
157,Tenki no Ko,17.28301903
158,Bakuman 2nd Season,17.28301903
159,Cowboy Bebop Tengoku no Tobira,17.28301903
160,Kingdom 3rd Season,17.28301903
161,Kiseijuu Sei no Kakuritsu,17.28301903
162,Mahou Shoujo MadokaMagica Movie 2 Eien no Monogatari,17.28301903
163,Haikyuu To the Top,17.07812493
164,Kingdom 2nd Season,17.07812493
165,Psycho-Pass,17.07812493
166,Pui Pui Molcar,17.69945761
167,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,16.87541959
168,Uchuu Senkan Yamato 2199,16.87541959
169,Hotarubi no Mori e,16.87541959
170,Kamisama Hajimemashita Kako-hen,16.87541959
171,Mahou Shoujo MadokaMagica,16.87541959
172,Major S6,16.87541959
173,Bakemonogatari,16.67488219
174,Boku dake ga Inai Machi,16.67488219
175,Great Pretender,16.67488219
176,Katanagatari,16.67488219
177,Luo Xiao Hei Zhan Ji Movie,16.87541959
178,Ookami to Koushinryou II,16.67488219
179,Natsume Yuujinchou Itsuka Yuki no Hi ni,16.47649211
180,Non Non Biyori Nonstop,16.47649211
181,One Outs,16.47649211
182,Romeo no Aoi Sora,16.47649211
183,Sakamichi no Apollon,16.47649211
184,Shinsekai yori,16.47649211
185,Shirobako,16.47649211
186,Kemono no Souja Erin,16.47649211
187,Major World Series,16.47649211
188,Mobile Suit Gundam The Origin,16.47649211
189,Evangelion 20 You Can Not Advance,16.28022888
190,Fate Zero,16.08607221
191,Gintama Shiroyasha Koutan,16.28022888
192,Made in Abyss Movie 2 Hourou Suru Tasogare,16.28022888
193,Shelter,16.08607221
194,Steins Gate Oukoubakko no Poriomania,16.28022888
195,Tian Guan Ci Fu,16.28022888
196,Natsume Yuujinchou,16.08607221
197,Natsume Yuujinchou Go Specials,16.08607221
198,NHK ni Youkoso,16.08607221
199,Versailles no Bara,16.28022888
200,Dr Stone,16.08607221
201,Fate stay night Unlimited Blade Works 2nd Season,16.08607221
202,Given,16.08607221
203,Hunter x Hunter Original Video Animation,16.08607221
204,K-On Movie,16.08607221
205,Kino no Tabi The Beautiful World,16.08607221
206,Kuroko no Basket 3rd Season,16.08607221
207,Bakemono no Ko,15.89400198
208,Diamond no Ace Second Season,15.89400198
209,Doukyuusei Movie,15.89400198
210,Neon Genesis Evangelion,15.89400198
211,Nodame Cantabile,15.89400198
212,Violet Evergarden Kitto Ai wo Shiru Hi ga Kuru no Darou,15.89400198
213,Wonder Egg Priority,15.89400198
214,No Game No Life Zero,15.70399823
215,Planetes,15.70399823
216,Rurouni Kenshin Meiji Kenkaku Romantan,15.70399823
217,Stranger Mukou Hadan,15.70399823
218,Tsubasa Tokyo Revelations,15.70399823
219,Beck,15.70399823
220,Boku no Hero Academia 2nd Season,15.70399823
221,Detective Conan Movie 06 The Phantom of Baker Street,15.70399823
222,Kono Subarashii Sekai ni Shukufuku wo 2,15.70399823
223,Quanzhi Gaoshou Specials,15.51604118
224,Tenkuu no Shiro Laputa,15.51604118
225,Tonari no Totoro,15.51604118
226,Re Zero kara Hajimeru Isekai Seikatsu,15.14618886
227,Redline,15.33011121
228,Tokyo Godfathers,15.33011121
229,Gin no Saji 2nd Season,15.33011121
230,Hajime no Ippo Champion Road,15.33011121
231,Hibike Euphonium 2,15.33011121
232,Hunter x Hunter Greed Island Final,15.14618886
233,Koukaku Kidoutai,15.33011121
234,Ashita no Joe,15.14618886
235,Douluo Dalu Xiaowu Juebie,15.14618886
236,Gyakkyou Burai Kaiji Ultimate Survivor,15.14618886
237,Initial D First Stage,15.14618886
238,Kawaki wo Ameku,15.33011121
239,Kuroko no Basket 2nd Season,14.96425483
240,Shokugeki no Souma,15.14618886
241,Nodame Cantabile Finale,14.96425483
242,Ookami to Koushinryou,14.96425483
243,Sennen Joyuu,14.96425483
244,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku,14.96425483
245,Youjo Senki Movie,14.96425483
246,Yuru Camp,14.96425483
247,Danshi Koukousei no Nichijou,14.96425483
248,Detective Conan Episode One - The Great Detective Turned Small,14.78429001
249,Gintama Shinyaku Benizakura-hen,14.96425483
250,Magi The Kingdom of Magic,14.96425483
251,Major S1,14.96425483
252,Major S3,14.96425483
253,Dr Stone Stone Wars,14.78429001
254,Fate stay night Movie Heavens Feel - I Presage Flower,14.78429001
255,Kuroshitsuji Movie Book of the Atlantic,14.78429001
256,SpaceDandy 2nd Season,14.78429001
257,Steins Gate Kyoukaimenjou no Missing Link - Divide By Zero,14.78429001
258,SKET Dance,14.60627541
259,Toaru Kagaku no Railgun T,14.60627541
260,Gyakkyou Burai Kaiji Hakairoku-hen,14.60627541
261,Hachimitsu to Clover II,14.60627541
262,Major S2,14.43019224
263,Initial D Final Stage,14.43019224
264,Kono Sekai no Katasumi ni,14.43019224
265,Major S4,14.25602184
266,xxxHOLiC Kei,14.43019224
267,Non Non Biyori Movie Vacation,14.25602184
268,ReLIFE Kanketsu-hen,14.08374572
269,Trigun,14.25602184
270,Wu Liuqi Zhi Zui Qiang Fa Xing Shi,14.25602184
271,Yoru wa Mijikashi Arukeyo Otome,14.25602184
272,Bakuman,14.25602184
273,Boku no Hero Academia 3rd Season,14.25602184
274,Chihayafuru,14.25602184
275,Detective Conan Movie 13 The Raven Chaser,14.25602184
276,Diamond no Ace Act II,14.25602184
277,Hajime no Ippo Mashiba vs Kimura,14.25602184
278,Little Busters Refrain,14.25602184
279,Mahou Shoujo MadokaMagica Movie 1 Hajimari no Monogatari,14.25602184
280,Majo no Takkyuubin,14.25602184
281,Mimi wo Sumaseba,14.25602184
282,Mobile Suit Gundam Iron-Blooded Orphans 2nd Season,14.25602184
283,Cardcaptor Sakura Movie 2 Fuuin Sareta Card,14.08374572
284,Fate stay night Unlimited Blade Works,14.08374572
285,Ginga Eiyuu Densetsu Die Neue These - Seiran 3,14.08374572
286,Girls Panzer Movie,14.08374572
287,Higurashi no Naku Koro ni Kai,14.08374572
288,InuYasha Kanketsu-hen,14.08374572
289,Kaguya-hime no Monogatari,14.08374572
290,Toradora,14.08374572
291,xxxHOLiC Rou,14.08374572
292,Noragami Aragoto,13.91334554
293,One Piece Episode of Merry - Mou Hitori no Nakama no Monogatari,13.91334554
294,Saiki Kusuo no -nan Kanketsu-hen,13.91334554
295,Berserk Ougon Jidai-hen III - Kourin,13.74480313
296,Hunter x Hunter Greed Island,13.91334554
297,Liz to Aoi Tori,13.91334554
298,Major Message,13.91334554
299,Aria the Natural,13.57810046
300,Ballroom e Youkoso,13.74480313
301,Bungou Stray Dogs 2nd Season,13.74480313
302,Death Parade,13.74480313
303,Fruits Basket 1st Season,13.57810046
304,Golden Kamuy 2nd Season,13.74480313
305,Hinamatsuri TV,13.74480313
306,Kyoukai no Kanata Movie 2 Ill Be Here - Mirai-hen,13.74480313
307,Senki Zesshou Symphogear XV,13.74480313
308,Shokugeki no Souma Ni no Sara,13.57810046
309,Shoujo Kakumei Utena,13.74480313
310,No Game No Life,13.57810046
311,One Piece Movie 14 Stampede,13.57810046
312,Ouran Koukou Host Club,13.57810046
313,Quanzhi Gaoshou Zhi Dianfeng Rongyao,13.57810046
314,Shoujo Shuumatsu Ryokou,13.57810046
315,Toki wo Kakeru Shoujo,13.57810046
316,Working Lord of the Takanashi,13.57810046
317,Asobi Asobase,13.57810046
318,Black Lagoon The Second Barrage,13.57810046
319,Digimon Adventure Last Evolution Kizuna,13.57810046
320,Dororo,13.57810046
321,Maison Ikkoku,13.57810046
322,Bungou Stray Dogs 3rd Season,13.41321965
323,Given Movie,13.25014299
324,Nisemonogatari,13.41321965
325,Non Non Biyori Repeat,13.41321965
326,One Piece Film Z,13.41321965
327,Sakura-sou no Pet na Kanojo,13.41321965
328,Naruto Shippuuden,13.25014299
329,Nodame Cantabile Paris-hen,13.25014299
330,One Piece Film Strong World,13.25014299
331,Tengen Toppa Gurren Lagann Movie 1 Gurren-hen,13.25014299
332,Tsuki ga Kirei,13.25014299
333,Akira,13.25014299
334,Detective Conan Movie 20 The Darkest Nightmare,13.25014299
335,Durarara,13.25014299
336,Eizouken ni wa Te wo Dasu na,13.25014299
337,Gankutsuou,13.25014299
338,Kaiba,13.25014299
339,Katekyo Hitman Reborn,13.25014299
340,Lupin III Part 5,13.25014299
341,Mahou Shoujo Lyrical Nanoha The Movie 2nd As,13.25014299
342,Mo Dao Zu Shi Q,13.25014299
343,Cardcaptor Sakura,13.08885291
344,Detective Conan,13.08885291
345,Douluo Dalu Jingying Sai,13.25014299
346,Douluo Dalu Qian Hua Xi Jin,13.25014299
347,Dragon Ball Z,12.92933199
348,Fate Grand Carnival,12.92933199
349,Fullmetal Alchemist,13.08885291
350,Honzuki no Gekokujou Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,13.08885291
351,Kamisama Hajimemashita,13.08885291
352,Kanata no Astra,12.92933199
353,Seirei no Moribito,13.08885291
354,One Piece Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,12.92933199
355,Ginga Eiyuu Densetsu Gaiden,12.92933199
356,Initial D Fourth Stage,12.92933199
357,K-On,12.92933199
358,Kono Subarashii Sekai ni Shukufuku wo,12.92933199
359,Lupin III Cagliostro no Shiro,12.92933199
360,Mobile Suit Gundam Unicorn,12.92933199
361,Angel Beats,12.77156296
362,Baccano Specials,12.77156296
363,Chuunibyou demo Koi ga Shitai Movie Take On Me,12.92933199
364,Detective Conan Movie 14 The Lost Ship in the Sky,12.77156296
365,Detroit Metal City,12.77156296
366,Hyouka,12.77156296
367,IDOLiSH7 Second Beat,12.6155287
368,Karakai Jouzu no Takagi-san 2,12.77156296
369,Koukaku Kidoutai Stand Alone Complex - Solid State Society,12.77156296
370,Kuroko no Basket,12.77156296
371,Made in Abyss Movie 1 Tabidachi no Yoake,12.77156296
372,Mahoutsukai no Yome Hoshi Matsu Hito,12.77156296
373,Mobile Suit Gundam 00,12.77156296
374,Princess Tutu,12.77156296
375,Saiki Kusuo no -nan -shidou-hen,12.6155287
376,Shokugeki no Souma San no Sara,12.46121222
377,Skip Beat,12.46121222
378,Tsubasa Shunraiki,12.6155287
379,Tsukimonogatari,12.6155287
380,Uchouten Kazoku 2,12.6155287
381,Detective Conan Movie 05 Countdown to Heaven,12.6155287
382,Interstella5555 The 5tory of The 5ecret 5tar 5ystem,12.77156296
383,Kuragehime,12.6155287
384,Ansatsu Kyoushitsu,12.46121222
385,Diamond no Ace,12.46121222
386,Ginga Eiyuu Densetsu Arata Naru Tatakai no Overture,12.46121222
387,Initial D Second Stage,12.46121222
388,Kaze Tachinu,12.46121222
389,Kuroshitsuji Book of Circus,12.46121222
390,Tanoshii Muumin Ikka,12.6155287
391,Zankyou no Terror,12.46121222
392,Shijou Saikyou no Deshi Kenichi,12.15766545
393,Yowamushi Pedal Grande Road,12.3085967
394,Darker than Black Kuro no Keiyakusha,12.3085967
395,Gin no Saji,12.3085967
396,Gintama Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,12.3085967
397,Haikyuu Movie 4 Concept no Tatakai,12.3085967
398,Hajime no Ippo Boxer no Kobushi,12.15766545
399,JoJo no Kimyou na Bouken Part 3 Stardust Crusaders,12.3085967
400,Kuroshitsuji Book of Murder,12.3085967
401,Mobile Suit Gundam 00 Second Season,12.3085967
402,5-toubun no Hanayome ,12.46121222
403,Detective Conan Movie 08 Magician of the Silver Sky,12.15766545
404,Dorohedoro,12.15766545
405,Dragon Ball Super Movie Broly,12.15766545
406,Durararax2 Ketsu,12.15766545
407,Fate stay night Unlimited Blade Works Prologue,12.15766545
408,Gintama Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,12.15766545
409,Gosick,12.15766545
410,Hikaru no Go,12.15766545
411,Kill la Kill,12.15766545
412,Koukaku Kidoutai Stand Alone Complex - The Laughing Man,12.15766545
413,Kuroko no Basket Saikou no Present Desu,12.15766545
414,Omoide no Marnie,12.15766545
415,Saint Seiya The Lost Canvas - Meiou Shinwa 2,12.15766545
416,Tamayura Sotsugyou Shashin Part 4 - Ashita,12.15766545
417,Summer Wars,12.00840194
418,Tensei shitara Slime Datta Ken 2nd Season,12.6155287
419,World Trigger 2nd Season,12.00840194
420,Akatsuki no Yona OVA,12.00840194
421,Beastars 2nd Season,12.46121222
422,Boku no Hero Academia,11.86078975
423,Dennou Coil,12.00840194
424,Detective Conan Movie 18 The Sniper from Another Dimension,12.00840194
425,Ginga Eiyuu Densetsu Die Neue These - Seiran 2,12.00840194
426,Gintama Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,12.00840194
427,Haikyuu Movie 3 Sainou to Sense,11.86078975
428,Hidamari Sketch Sae Hiro Sotsugyou-hen,12.00840194
429,Kamisama Hajimemashita Kamisama Shiawase ni Naru,12.00840194
430,Koukyoushihen Eureka Seven,12.00840194
431,Mahoutsukai no Yome,12.00840194
432,Mirai Shounen Conan,12.00840194
433,Mobile Suit Gundam The Origin - Advent of the Red Comet,12.00840194
434,Boku no Hero Academia the Movie 2 Heroes Rising,11.71481264
435,Eve no Jikan,11.86078975
436,Glass no Kamen 2005,11.86078975
437,Initial D Fifth Stage,11.86078975
438,Promare,11.71481264
439,Tsumiki no Ie,11.71481264
440,xxxHOLiC Shunmuki,11.86078975
441,Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku OVA,11.86078975
442,Yuusha-Ou GaoGaiGar Final,11.86078975
443,Saiunkoku Monogatari 2nd Season,11.71481264
444,Tensei shitara Slime Datta Ken,11.71481264
445,Detective Conan Movie 10 Requiem of the Detectives,11.71481264
446,Douluo Dalu Hao Tian Yang Wei,11.86078975
447,Evangelion 10 You Are Not Alone,11.71481264
448,Full Metal Panic Fumoffu,11.71481264
449,Ginga Eiyuu Densetsu Gaiden 1999,11.86078975
450,Gintama Dai Hanseikai,11.71481264
451,High Score Girl II,11.71481264
452,Kami nomi zo Shiru Sekai Megami-hen,11.71481264
453,Kara no Kyoukai 3 Tsuukaku Zanryuu,11.71481264
454,Kuroko no Basket Movie 4 Last Game,11.71481264
455,Kyou kara Ore wa,11.71481264
456,Nagi no Asu kara,11.71481264
457,Baby Steps 2nd Season,11.57045447
458,City Hunter 2,11.57045447
459,Clannad,11.57045447
460,Hachimitsu to Clover,11.57045447
461,Juuni Kokuki,11.57045447
462,Kono Subarashii Sekai ni Shukufuku wo 2 Kono Subarashii Geijutsu ni Shukufuku wo,11.57045447
463,LovelyComplex,11.57045447
464,Magi The Labyrinth of Magic,11.57045447
465,Paprika,11.57045447
466,Saint Seiya Meiou Hades Juuni Kyuu-hen,11.57045447
467,Shokugeki no Souma San no Sara - Tootsuki Ressha-hen,11.57045447
468,Stand By Me Doraemon,11.57045447
469,Toaru Kagaku no Railgun S,11.57045447
470,Umibe no tranger,11.28653122
471,Yahari Ore no Seishun Love Comedy wa Machigatteiru,11.57045447
472,Ramayana The Legend of Prince Rama,11.42769928
473,Tokyo Magnitude 80,11.42769928
474,Akatsuki no Yona,11.42769928
475,BanG Dream 3rd Season,11.42769928
476,Black Lagoon,11.42769928
477,Black Lagoon Robertas Blood Trail,11.42769928
478,Boku no Hero Academia 4th Season,11.42769928
479,DGray-man,11.42769928
480,Eve no Jikan Movie,11.42769928
481,High Score Girl Extra Stage,11.28653122
482,Kaichou wa Maid-sama,11.42769928
483,Detective Conan Movie 03 The Last Wizard of the Century,11.28653122
484,Detective Conan Movie 04 Captured in Her Eyes,11.28653122
485,ef A Tale of Melodies,11.28653122
486,Ginga Nagareboshi Gin,11.28653122
487,Girls Panzer Saishuushou Part 2,11.28653122
488,Kamisama Hajimemashita,11.28653122
489,Kodomo no Omocha TV,11.28653122
490,Sakasama no Patema,11.28653122
491,Slayers Next,11.28653122
492,Ookiku Furikabutte Natsu no Taikai-hen,11.14693459
493,Quanzhi Gaoshou 2,11.00889381
494,ReLIFE,11.14693459
495,School Rumble Ni Gakki,11.14693459
496,Serial Experiments Lain,11.28653122
497,Wolfs Rain OVA,11.14693459
498,Beastars,11.00889381
499,Code Geass Hangyaku no Lelouch III - Oudou,11.14693459
500,Detective Conan Movie 15 Quarter of Silence,11.14693459
501,FLCL,11.14693459
502,Fullmetal Alchemist Brotherhood Specials,11.14693459
503,Honzuki no Gekokujou Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,11.14693459
504,JoJo no Kimyou na Bouken TV,11.14693459
505,Kara no Kyoukai Mirai Fukuin,11.14693459
506,Kingdom,11.14693459
507,Kotonoha no Niwa,11.14693459
508,Maoujou de Oyasumi,11.14693459
509,Mobile Suit Gundam The 08th MS Team,11.14693459
510,Aria the OVA Arietta,11.00889381
511,Durararax2 Shou,11.00889381
512,Golden Boy,11.00889381
513,Kimi ni Todoke,10.87239346
514,Kobayashi-san Chi no Maid Dragon,11.00889381
515,Koukaku Kidoutai Stand Alone Complex 2nd GIG - Individual Eleven,11.00889381
516,Major Movie Yuujou no Winning Shot,11.00889381
517,Mobile Suit Gundam Iron-Blooded Orphans,11.00889381
518,Omae Umasou da na,11.00889381
519,Persona 3 the Movie 4 Winter of Rebirth,11.00889381
520,SK,11.00889381
521,Touch,11.00889381
522,Working,11.00889381
523,Osomatsu-san,10.87239346
524,Phantom Requiem for the Phantom,10.73741824
525,Tennis no Ouji-sama Zenkoku Taikai-hen - Final,10.87239346
526,xxxHOLiC,10.87239346
527,Aria the Origination Sono Choppiri Himitsu no Basho ni,10.87239346
528,Durararax2 Ten,10.87239346
529,Hanada Shounen-shi,10.87239346
530,Kakushigoto TV,10.87239346
531,Kimi ni Todoke 2nd Season,10.87239346
532,Koukaku Kidoutai 20,10.87239346
533,Akagami no Shirayuki-hime 2nd Season,10.73741824
534,Hibike Euphonium,10.73741824
535,Kanon 2006,10.73741824
536,Kokoro Connect Michi Random,10.73741824
537,Log Horizon,10.73741824
538,Noragami,10.73741824
539,One Piece Film Strong World Episode 0,10.73741824
540,Tate no Yuusha no Nariagari,10.73741824
541,Wu Shan Wu Xing,10.73741824
542,Youjo Senki,10.73741824
543,Yuuki Yuuna wa Yuusha de Aru Washio Sumi no Shou 3 - Yakusoku,10.87239346
544,Nurarihyon no Mago Sennen Makyou,10.60395297
545,Rurouni Kenshin Meiji Kenkaku Romantan - Seisou-hen,10.60395297
546,Saint Seiya The Lost Canvas - Meiou Shinwa,10.60395297
547,Tamako Love Story,10.60395297
548,Yowamushi Pedal,10.60395297
549,Yuukoku no Moriarty,10.60395297
550,Zetsuen no Tempest,10.47198263
551,Clannad Mou Hitotsu no Sekai Tomoyo-hen,10.60395297
552,Dragon Ball,10.60395297
553,Haibane Renmei,10.60395297
554,Hanamonogatari,10.60395297
555,Hokuto no Ken,10.47198263
556,Hyouge Mono,10.60395297
557,Mahou Shoujo Lyrical Nanoha As,10.60395297
558,Azumanga Daioh,10.34149232
559,Fate kaleid liner PrismaIllya Movie Sekka no Chikai,10.47198263
560,Hikaru no Go Hokuto Hai e no Michi,10.47198263
561,Kamisama Hajimemashita OVA,10.47198263
562,Kindaichi Shounen no Jikenbo,10.34149232
563,Kobato,10.47198263
564,Kurenai no Buta,10.47198263
565,Mawaru Penguindrum,10.47198263
566,Nekomonogatari Kuro,10.34149232
567,Tekkon Kinkreet,10.47198263
568,Usagi Drop Specials,10.47198263
569,Quanzhi Gaoshou,10.34149232
570,Trigun Badlands Rumble,10.34149232
571,Code Geass Fukkatsu no Lelouch,10.21246726
572,Ginga Eiyuu Densetsu Die Neue These - Seiran 1,10.34149232
573,Kimi to Boku 2,10.34149232
574,Macross F Movie 2 Sayonara no Tsubasa,10.34149232
575,Macross Do You Remember Love,10.34149232
576,Darker than Black Kuro no Keiyakusha Gaiden,10.21246726
577,Final Fantasy VII Advent Children Complete,10.21246726
578,Full Metal Panic The Second Raid,10.21246726
579,Full Moon wo Sagashite,10.21246726
580,Girls Panzer Saishuushou Part 1,10.21246726
581,Gochuumon wa Usagi Desu ka Bloom,10.21246726
582,IDOLiSH7 Vibrato,10.21246726
583,Kuuchuu Buranko,10.21246726
584,Sekaiichi Hatsukoi 2,10.08489281
585,Wotaku ni Koi wa Muzukashii,10.21246726
586,xxxHOLiC Movie Manatsu no Yoru no Yume,10.21246726
